"abalone_id","gender","length","diameter","height","whole_weight","shucked_weight","viscera_weight","shell_weight","rings","collector","collector_first","collector_last","collector_organization","water","water_region","feb_temp"
"901",I,"0.3","0.235","0.08","0.131","0.05","0.0265","0.043","4","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"907",I,"0.325","0.24","0.075","0.187","0.0825","0.0445","0.05","6","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"918",I,"0.41","0.31","0.09","0.339","0.155","0.0695","0.09","7","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1035",F,"0.655","0.46","0.16","1.494","0.6895","0.331","0.1825","9","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"921",I,"0.415","0.33","0.09","0.3595","0.17","0.081","0.09","6","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"923",I,"0.42","0.315","0.1","0.3435","0.157","0.0795","0.09","6","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"950",M,"0.48","0.375","0.115","0.6765","0.3205","0.1065","0.17","6","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"996",M,"0.58","0.49","0.13","1.1335","0.586","0.2565","0.237","9","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"1028",F,"0.645","0.505","0.165","1.4325","0.684","0.308","0.336","8","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1031",F,"0.645","0.515","0.15","1.212","0.515","0.2055","0.385","10","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"1036",F,"0.655","0.51","0.175","1.6525","0.8515","0.3365","0.403","10","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1037",F,"0.66","0.505","0.185","1.528","0.69","0.3025","0.441","11","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1038",M,"0.66","0.535","0.19","1.5905","0.6425","0.297","0.5175","9","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1042",F,"0.675","0.57","0.225","1.587","0.739","0.2995","0.435","10","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1050",M,"0.715","0.565","0.175","1.9525","0.7645","0.4185","0.4135","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1053",M,"0.765","0.6","0.22","2.302","1.007","0.509","0.6205","12","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1054",I,"0.185","0.13","0.045","0.029","0.012","0.0075","0.0095","4","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1072",I,"0.385","0.29","0.08","0.2485","0.122","0.0495","0.065","7","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1076",I,"0.41","0.325","0.1","0.3245","0.132","0.072","0.106","6","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"1085",I,"0.445","0.345","0.105","0.409","0.1675","0.1015","0.117","7","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1101",I,"0.5","0.375","0.12","0.542","0.215","0.116","0.17","9","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1119",I,"0.535","0.39","0.125","0.599","0.2595","0.149","0.169","9","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1121",M,"0.545","0.39","0.135","0.7835","0.4225","0.1815","0.156","7","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1135",F,"0.57","0.445","0.145","0.8775","0.412","0.217","0.22","8","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1140",F,"0.575","0.47","0.165","0.869","0.435","0.197","0.238","9","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1152",M,"0.585","0.465","0.16","0.9555","0.4595","0.236","0.265","7","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1179",F,"0.65","0.5","0.19","1.464","0.6415","0.339","0.4245","9","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1210",F,"0.78","0.63","0.215","2.657","1.488","0.4985","0.586","11","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1214",I,"0.25","0.19","0.065","0.0835","0.039","0.015","0.025","5","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1224",I,"0.34","0.25","0.09","0.179","0.0775","0.033","0.055","6","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1228",I,"0.35","0.255","0.09","0.1785","0.0855","0.0305","0.0525","8","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"1248",I,"0.395","0.305","0.105","0.284","0.1135","0.0595","0.0945","8","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1255",I,"0.425","0.325","0.11","0.3335","0.173","0.045","0.1","7","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1257",I,"0.425","0.31","0.09","0.301","0.1385","0.065","0.08","7","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1258",I,"0.43","0.34","0","0.428","0.2065","0.086","0.115","8","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1259",I,"0.43","0.315","0.095","0.378","0.175","0.08","0.1045","8","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"1274",I,"0.475","0.38","0.12","0.441","0.1785","0.0885","0.1505","8","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1275",I,"0.475","0.36","0.11","0.492","0.211","0.11","0.15","8","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1302",I,"0.535","0.4","0.135","0.6025","0.2895","0.121","0.154","9","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1303",I,"0.535","0.415","0.15","0.5765","0.3595","0.135","0.225","8","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1316",I,"0.55","0.425","0.135","0.7305","0.3325","0.1545","0.215","9","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"1320",I,"0.555","0.425","0.145","0.7905","0.3485","0.1765","0.225","9","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1334",M,"0.57","0.435","0.125","0.8965","0.383","0.1835","0.275","9","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1372",M,"0.615","0.5","0.17","1.054","0.4845","0.228","0.295","10","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1384",F,"0.625","0.48","0.155","1.2035","0.5865","0.239","0.3185","12","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1414",M,"0.675","0.545","0.185","1.7375","0.876","0.3135","0.469","13","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1416",F,"0.695","0.565","0.19","1.7635","0.7465","0.399","0.4975","11","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"1421",F,"0.71","0.55","0.17","1.614","0.743","0.345","0.45","11","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1448",M,"0.44","0.32","0.12","0.4565","0.2435","0.092","0.1025","8","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1450",M,"0.45","0.335","0.125","0.4475","0.2165","0.126","0.11","6","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1455",I,"0.47","0.355","0.12","0.3685","0.126","0.0835","0.1365","6","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1466",I,"0.515","0.395","0.125","0.556","0.2695","0.096","0.17","8","11",Naima,Reyes,University of Houston,"8",West Coast,"12.3"
"1469",M,"0.52","0.4","0.125","0.559","0.254","0.139","0.149","8","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1471",I,"0.53","0.43","0.13","0.7045","0.346","0.1415","0.189","9","11",Naima,Reyes,University of Houston,"8",West Coast,"12.3"
"1490",F,"0.605","0.485","0.165","0.9515","0.4535","0.193","0.2765","11","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1496",F,"0.62","0.435","0.155","1.012","0.477","0.236","0.275","8","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1497",M,"0.62","0.48","0.165","1.0725","0.4815","0.235","0.312","9","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"1519",M,"0.67","0.545","0.2","1.7025","0.833","0.374","0.41","11","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1527",M,"0.705","0.56","0.165","1.675","0.797","0.4095","0.388","10","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1528",M,"0.72","0.565","0.2","2.1055","1.017","0.363","0.494","12","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1531",M,"0.75","0.55","0.18","1.893","0.942","0.397","0.445","11","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"1565",I,"0.46","0.35","0.11","0.4","0.176","0.083","0.1205","7","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1594",I,"0.525","0.38","0.135","0.615","0.261","0.159","0.175","8","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1602",I,"0.54","0.43","0.17","0.836","0.3725","0.1815","0.24","9","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1608",I,"0.54","0.425","0.135","0.686","0.3475","0.1545","0.213","8","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1624",F,"0.565","0.44","0.15","0.863","0.435","0.149","0.27","9","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1631",I,"0.57","0.445","0.155","0.867","0.3705","0.1705","0.28","9","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1632",I,"0.57","0.445","0.145","0.7405","0.306","0.172","0.1825","12","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1633",M,"0.575","0.455","0.165","0.867","0.3765","0.1805","0.268","8","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1634",I,"0.575","0.425","0.135","0.7965","0.364","0.196","0.239","10","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"1635",F,"0.575","0.47","0.155","1.116","0.509","0.238","0.34","10","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1652",F,"0.595","0.435","0.15","0.9","0.4175","0.17","0.265","8","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1653",M,"0.595","0.45","0.14","0.838","0.3965","0.194","0.217","10","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1656",F,"0.6","0.46","0.155","0.9735","0.427","0.2045","0.3","8","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"1667",F,"0.605","0.47","0.155","0.974","0.393","0.224","0.3345","9","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1673",F,"0.61","0.475","0.16","1.1155","0.3835","0.223","0.379","10","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"1686",I,"0.62","0.45","0.135","0.924","0.358","0.2265","0.2965","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1690",M,"0.625","0.475","0.16","1.0845","0.5005","0.2355","0.3105","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1698",M,"0.63","0.485","0.165","1.233","0.6565","0.2315","0.3035","10","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"1706",M,"0.64","0.525","0.185","1.707","0.763","0.4205","0.4435","11","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1711",M,"0.645","0.51","0.195","1.226","0.5885","0.2215","0.3745","10","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1735",M,"0.67","0.505","0.16","1.2585","0.6255","0.311","0.308","12","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1736",M,"0.67","0.52","0.165","1.39","0.711","0.2865","0.3","11","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"1764",M,"0.775","0.63","0.25","2.7795","1.3485","0.76","0.578","12","10",Hazel,Villa,University of Minnesota,"8",West Coast,"12.3"
"1765",I,"0.275","0.175","0.09","0.2315","0.096","0.057","0.0705","5","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"1774",I,"0.465","0.325","0.14","0.7615","0.362","0.1535","0.209","10","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1791",F,"0.55","0.38","0.165","1.205","0.543","0.294","0.3345","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1798",I,"0.585","0.45","0.15","0.8915","0.3975","0.2035","0.253","8","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"1804",F,"0.615","0.455","0.145","1.1155","0.5045","0.238","0.315","10","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1805",M,"0.62","0.47","0.145","1.0865","0.511","0.2715","0.2565","10","9",Danica,Tyler,University of Florida	,"8",West Coast,"12.3"
"1808",M,"0.635","0.495","0.195","1.172","0.445","0.3115","0.3475","11","8",Kali,Metcalfe,Mote Marine Laboratory,"8",West Coast,"12.3"
"1831",I,"0.365","0.275","0.085","0.223","0.098","0.0375","0.075","7","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1859",F,"0.51","0.4","0.12","0.7005","0.347","0.1105","0.195","10","2",Tiegan,Davie,"University of California, Davis","8",West Coast,"12.3"
"1870",I,"0.525","0.4","0.145","0.6095","0.248","0.159","0.175","9","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"1874",I,"0.53","0.405","0.12","0.632","0.2715","0.148","0.1875","9","4",Nate,Craig,NOAA Fisheries,"8",West Coast,"12.3"
"1907",I,"0.575","0.45","0.135","0.8245","0.3375","0.2115","0.239","11","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"1917",M,"0.6","0.46","0.17","1.1805","0.456","0.337","0.329","11","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1923",M,"0.61","0.48","0.14","1.031","0.4375","0.2615","0.27","8","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1938",M,"0.625","0.515","0.17","1.331","0.5725","0.3005","0.361","9","14",Santiago,Vaughan,Ohio State University	,"8",West Coast,"12.3"
"1984",F,"0.725","0.57","0.205","1.6195","0.744","0.315","0.488","11","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"1989",I,"0.21","0.15","0.055","0.0465","0.017","0.012","0.015","5","13",Betty,Berg,University of Houston,"8",West Coast,"12.3"
"1993",I,"0.29","0.21","0.07","0.1115","0.048","0.0205","0.03","5","1",Jan,Odom,University of Houston,"8",West Coast,"12.3"
"2002",I,"0.36","0.27","0.085","0.2185","0.1065","0.038","0.062","6","15",Conan,Dalton,University of Houston,"8",West Coast,"12.3"
"2003",I,"0.36","0.27","0.085","0.196","0.0905","0.034","0.053","7","12",Rebecca,Bennett,University of Houston,"8",West Coast,"12.3"
"2011",I,"0.435","0.325","0.12","0.346","0.159","0.084","0.095","7","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"2016",I,"0.475","0.365","0.12","0.5185","0.268","0.1095","0.1365","8","3",Inaya,Bernard,Stanford University,"8",West Coast,"12.3"
"2038",I,"0.27","0.195","0.065","0.1065","0.0475","0.0225","0.0285","5","6",Martin,Gaines,San Diego State University,"8",West Coast,"12.3"
"2053",M,"0.46","0.345","0.12","0.4935","0.2435","0.1175","0.132","8","5",Haniya,Talley,Prince William Sound Science Center,"8",West Coast,"12.3"
"2057",F,"0.475","0.38","0.14","0.689","0.3165","0.1315","0.1955","7","7",Iona,Connolly,Florida Atlantic University,"8",West Coast,"12.3"
