"abalone_id","gender","length","diameter","height","whole_weight","shucked_weight","viscera_weight","shell_weight","rings","collector","collector_first","collector_last","collector_organization","water","water_region","feb_temp"
"253",F,"0.595","0.455","0.155","1.0605","0.5135","0.2165","0.3","12","6",Martin,Gaines,San Diego State University,"1",Florida Atlantic Coast,"22.1"
"306",I,"0.2","0.145","0.06","0.037","0.0125","0.0095","0.011","4","6",Martin,Gaines,San Diego State University,"1",Florida Atlantic Coast,"22.1"
"354",M,"0.58","0.455","0.17","0.93","0.408","0.259","0.22","9","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"359",M,"0.745","0.585","0.215","2.499","0.9265","0.472","0.7","17","15",Conan,Dalton,University of Houston,"1",Florida Atlantic Coast,"22.1"
"370",F,"0.69","0.56","0.215","1.719","0.68","0.299","0.47","17","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"372",F,"0.66","0.565","0.195","1.7605","0.692","0.3265","0.5","16","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"375",M,"0.685","0.52","0.15","1.343","0.4635","0.292","0.4","13","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"404",F,"0.515","0.415","0.14","0.6935","0.3115","0.152","0.2","10","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"423",F,"0.49","0.39","0.135","0.5785","0.2465","0.123","0.2","13","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"457",F,"0.64","0.54","0.175","1.221","0.51","0.259","0.39","15","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"463",I,"0.24","0.185","0.07","0.0715","0.026","0.018","0.025","6","15",Conan,Dalton,University of Houston,"1",Florida Atlantic Coast,"22.1"
"465",I,"0.255","0.195","0.07","0.0735","0.0255","0.02","0.025","6","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"482",M,"0.575","0.4","0.155","0.9325","0.3605","0.2445","0.3","17","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"494",M,"0.655","0.53","0.175","1.2635","0.486","0.2635","0.415","15","6",Martin,Gaines,San Diego State University,"1",Florida Atlantic Coast,"22.1"
"502",F,"0.62","0.52","0.225","1.1835","0.378","0.27","0.395","23","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"506",M,"0.6","0.47","0.175","1.105","0.4865","0.247","0.315","15","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"526",M,"0.175","0.125","0.04","0.024","0.0095","0.006","0.005","4","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"532",F,"0.46","0.355","0.13","0.458","0.192","0.1055","0.13","13","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"536",I,"0.465","0.38","0.13","0.454","0.1895","0.08","0.155","11","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"547",M,"0.255","0.195","0.065","0.08","0.0315","0.018","0.027","8","6",Martin,Gaines,San Diego State University,"1",Florida Atlantic Coast,"22.1"
"548",M,"0.205","0.155","0.045","0.0425","0.017","0.0055","0.0155","7","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"553",I,"0.56","0.44","0.165","0.8","0.335","0.1735","0.25","12","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"554",I,"0.48","0.37","0.12","0.514","0.2075","0.131","0.155","13","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"596",I,"0.575","0.455","0.18","0.8525","0.3015","0.1825","0.3","13","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"599",I,"0.605","0.495","0.145","1.054","0.369","0.2255","0.36","12","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"612",M,"0.195","0.145","0.05","0.032","0.01","0.008","0.012","4","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"616",M,"0.415","0.345","0.135","0.3865","0.128","0.07","0.148","13","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"622",I,"0.485","0.38","0.14","0.673","0.2175","0.13","0.195","18","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"643",F,"0.59","0.45","0.16","0.9","0.358","0.156","0.315","19","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"647",M,"0.33","0.215","0.075","0.1145","0.045","0.0265","0.035","6","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"648",M,"0.48","0.375","0.145","0.777","0.216","0.13","0.17","9","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"655",F,"0.37","0.28","0.11","0.2305","0.0945","0.0465","0.075","10","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"658",F,"0.615","0.515","0.17","1.14","0.4305","0.2245","0.42","16","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"669",M,"0.55","0.425","0.155","0.9175","0.2775","0.243","0.335","13","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"672",F,"0.5","0.38","0.155","0.655","0.2405","0.143","0.205","17","10",Hazel,Villa,University of Minnesota,"1",Florida Atlantic Coast,"22.1"
"691",M,"0.5","0.375","0.15","0.636","0.2535","0.145","0.19","10","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"722",M,"0.555","0.455","0.16","1.0575","0.3925","0.228","0.293","13","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"726",F,"0.49","0.36","0.11","0.5005","0.161","0.107","0.195","17","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"740",M,"0.445","0.345","0.09","0.3795","0.143","0.074","0.125","10","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"743",F,"0.535","0.42","0.15","0.7365","0.2785","0.186","0.215","14","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"744",F,"0.52","0.405","0.14","0.8175","0.2795","0.183","0.26","17","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"747",F,"0.66","0.52","0.2","1.676","0.673","0.4805","0.45","17","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"749",M,"0.535","0.42","0.13","0.8055","0.301","0.181","0.28","14","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"750",M,"0.695","0.515","0.175","1.5165","0.578","0.4105","0.39","15","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"756",M,"0.62","0.505","0.185","1.5275","0.69","0.368","0.35","13","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"771",F,"0.53","0.455","0.165","0.9805","0.3155","0.2815","0.2965","11","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"781",M,"0.56","0.41","0.165","0.93","0.3505","0.237","0.3","13","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"794",M,"0.575","0.45","0.165","0.9215","0.3275","0.225","0.256","12","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"795",M,"0.58","0.465","0.16","1.0345","0.315","0.26","0.3635","12","15",Conan,Dalton,University of Houston,"1",Florida Atlantic Coast,"22.1"
"806",M,"0.405","0.305","0.12","0.3185","0.1235","0.0905","0.095","7","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"809",F,"0.44","0.34","0.13","0.4195","0.153","0.1155","0.13","10","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"817",I,"0.335","0.25","0.08","0.183","0.0735","0.04","0.0575","6","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"818",I,"0.35","0.27","0.09","0.2055","0.075","0.0575","0.062","6","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"834",I,"0.445","0.335","0.1","0.4895","0.2745","0.086","0.1105","7","6",Martin,Gaines,San Diego State University,"1",Florida Atlantic Coast,"22.1"
"862",F,"0.595","0.465","0.14","1.113","0.5175","0.244","0.305","12","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"868",F,"0.615","0.5","0.175","1.377","0.5585","0.33","0.292","12","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"882",M,"0.655","0.52","0.165","1.4095","0.586","0.291","0.405","9","10",Hazel,Villa,University of Minnesota,"1",Florida Atlantic Coast,"22.1"
"888",F,"0.675","0.525","0.155","1.4785","0.628","0.3405","0.42","9","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"889",F,"0.68","0.56","0.195","1.7775","0.861","0.322","0.415","11","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"903",I,"0.305","0.22","0.07","0.141","0.062","0.031","0.037","5","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"908",I,"0.33","0.265","0.085","0.196","0.0775","0.0305","0.0445","6","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"915",I,"0.37","0.28","0.095","0.2865","0.1505","0.069","0.0795","7","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"941",I,"0.46","0.345","0.105","0.449","0.196","0.0945","0.1265","7","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"957",M,"0.495","0.4","0.135","0.61","0.272","0.1435","0.144","7","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"973",F,"0.525","0.415","0.14","0.724","0.3475","0.173","0.175","8","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"975",F,"0.53","0.425","0.13","0.7585","0.325","0.197","0.205","8","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"980",M,"0.535","0.435","0.14","0.874","0.3735","0.229","0.2195","8","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"988",M,"0.57","0.445","0.14","1.0635","0.5265","0.2195","0.24","8","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"992",F,"0.58","0.46","0.15","1.1155","0.5575","0.2255","0.29","7","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"997",M,"0.59","0.465","0.155","1.136","0.5245","0.2615","0.275","11","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"1020",M,"0.635","0.49","0.175","1.375","0.623","0.2705","0.395","11","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"1023",F,"0.64","0.5","0.17","1.5175","0.693","0.326","0.409","11","15",Conan,Dalton,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1045",M,"0.69","0.525","0.175","1.7005","0.8255","0.362","0.405","8","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"1061",I,"0.265","0.195","0.055","0.084","0.0365","0.0175","0.025","7","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"1075",I,"0.41","0.3","0.1","0.282","0.1255","0.057","0.0875","7","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1078",I,"0.42","0.32","0.11","0.3625","0.174","0.0635","0.105","7","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"1107",I,"0.51","0.4","0.125","0.5575","0.2615","0.1195","0.1525","9","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"1117",I,"0.525","0.395","0.12","0.608","0.297","0.1395","0.1405","8","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"1124",F,"0.55","0.415","0.135","0.8145","0.427","0.1855","0.175","8","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"1151",M,"0.585","0.46","0.145","0.9335","0.478","0.1825","0.235","9","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1181",M,"0.655","0.515","0.16","1.31","0.553","0.369","0.345","11","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"1182",F,"0.655","0.51","0.175","1.415","0.5885","0.3725","0.364","10","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1196",F,"0.705","0.55","0.17","1.219","0.6395","0.236","0.301","9","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"1198",M,"0.715","0.55","0.19","2.0045","1.0465","0.407","0.5075","12","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"1211",I,"0.185","0.375","0.12","0.4645","0.196","0.1045","0.15","6","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1221",I,"0.33","0.25","0.095","0.2085","0.102","0.0395","0.052","7","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"1237",I,"0.375","0.275","0.09","0.218","0.093","0.0405","0.0755","6","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"1240",I,"0.375","0.27","0.085","0.218","0.0945","0.039","0.07","7","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"1249",I,"0.395","0.295","0.095","0.2725","0.115","0.0625","0.085","8","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1252",I,"0.405","0.285","0.09","0.2645","0.1265","0.0505","0.075","6","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1264",F,"0.455","0.365","0.115","0.4305","0.184","0.108","0.1245","8","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"1271",I,"0.47","0.355","0.18","0.48","0.2055","0.105","0.1505","8","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"1315",I,"0.55","0.435","0.14","0.7535","0.3285","0.1555","0.2325","10","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1318",I,"0.555","0.43","0.155","0.7395","0.3135","0.1435","0.28","10","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1321",I,"0.56","0.425","0.135","0.8205","0.3715","0.185","0.236","9","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1342",M,"0.585","0.49","0.185","1.171","0.522","0.2535","0.335","10","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"1357",F,"0.6","0.455","0.145","0.8895","0.419","0.1715","0.269","10","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"1386",I,"0.63","0.505","0.18","1.272","0.6025","0.295","0.315","11","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1398",M,"0.645","0.5","0.195","1.401","0.6165","0.3515","0.3725","10","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"1401",F,"0.65","0.59","0.22","1.662","0.77","0.378","0.435","11","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1413",F,"0.67","0.505","0.175","1.0145","0.4375","0.271","0.3745","10","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1418",M,"0.705","0.565","0.515","2.21","1.1075","0.4865","0.512","10","6",Martin,Gaines,San Diego State University,"1",Florida Atlantic Coast,"22.1"
"1423",M,"0.72","0.575","0.215","2.173","0.9515","0.564","0.5365","12","15",Conan,Dalton,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1425",F,"0.73","0.58","0.19","1.7375","0.6785","0.4345","0.52","11","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"1433",I,"0.365","0.255","0.08","0.1985","0.0785","0.0345","0.053","5","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"1436",I,"0.385","0.3","0.09","0.247","0.1225","0.044","0.0675","5","15",Conan,Dalton,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1451",I,"0.455","0.335","0.135","0.501","0.274","0.0995","0.1065","7","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1463",F,"0.495","0.38","0.12","0.573","0.2655","0.1285","0.144","7","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1464",M,"0.505","0.385","0.105","0.5525","0.239","0.1245","0.1555","9","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"1477",F,"0.56","0.435","0.15","0.8715","0.4755","0.1835","0.1835","9","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"1483",M,"0.585","0.455","0.15","0.906","0.4095","0.23","0.2335","8","15",Conan,Dalton,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1484",M,"0.59","0.44","0.15","0.8725","0.387","0.215","0.245","8","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"1494",I,"0.615","0.475","0.13","0.8425","0.353","0.1915","0.251","8","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"1503",M,"0.63","0.48","0.15","1.271","0.6605","0.2425","0.31","11","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"1518",F,"0.665","0.515","0.18","1.389","0.5945","0.324","0.395","10","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"1521",M,"0.67","0.5","0.19","1.519","0.616","0.388","0.415","10","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"1524",M,"0.69","0.525","0.2","1.7825","0.9165","0.3325","0.461","12","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1537",I,"0.335","0.255","0.08","0.168","0.079","0.0355","0.05","5","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"1555",I,"0.41","0.3","0.09","0.304","0.129","0.071","0.0955","8","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"1558",I,"0.425","0.325","0.11","0.317","0.135","0.048","0.09","8","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"1583",I,"0.5","0.375","0.14","0.559","0.2375","0.135","0.169","9","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1593",I,"0.525","0.39","0.12","0.664","0.3115","0.147","0.178","9","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"1597",I,"0.53","0.42","0.12","0.5965","0.2555","0.141","0.177","7","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1603",I,"0.54","0.425","0.14","0.742","0.32","0.1395","0.25","9","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"1646",M,"0.58","0.43","0.13","0.798","0.365","0.173","0.2285","10","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"1697",M,"0.63","0.49","0.17","1.1745","0.5255","0.273","0.339","11","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"1699",M,"0.63","0.495","0.175","1.2695","0.605","0.271","0.328","11","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"1710",M,"0.645","0.51","0.19","1.4745","0.605","0.345","0.48","9","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1717",F,"0.645","0.48","0.19","1.371","0.6925","0.2905","0.35","12","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"1725",F,"0.655","0.505","0.195","1.4405","0.688","0.3805","0.363","11","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1734",M,"0.665","0.5","0.175","1.2975","0.6075","0.314","0.315","9","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"1739",F,"0.67","0.54","0.195","1.619","0.74","0.3305","0.465","11","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1745",F,"0.685","0.565","0.175","1.638","0.7775","0.375","0.438","11","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1748",F,"0.7","0.535","0.175","1.773","0.6805","0.48","0.512","15","3",Inaya,Bernard,Stanford University,"1",Florida Atlantic Coast,"22.1"
"1754",M,"0.72","0.57","0.2","1.8275","0.919","0.366","0.485","10","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"1768",M,"0.39","0.28","0.125","0.564","0.3035","0.0955","0.143","7","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"1780",M,"0.5","0.37","0.15","1.0615","0.494","0.223","0.296","9","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"1781",M,"0.515","0.35","0.155","0.9225","0.4185","0.198","0.273","9","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1786",F,"0.535","0.425","0.135","0.771","0.3765","0.1815","0.1795","8","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1795",I,"0.575","0.45","0.13","0.8145","0.403","0.1715","0.213","10","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"1796",F,"0.58","0.43","0.17","1.48","0.6535","0.324","0.4155","10","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1800",M,"0.6","0.465","0.165","1.038","0.4975","0.2205","0.251","9","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"1803",F,"0.61","0.475","0.15","1.1135","0.5195","0.2575","0.3005","11","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"1807",M,"0.625","0.49","0.185","1.169","0.5275","0.2535","0.344","11","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"1809",F,"0.635","0.475","0.15","1.1845","0.533","0.307","0.291","10","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"1819",F,"0.695","0.55","0.185","1.679","0.805","0.4015","0.3965","10","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
