"ARPU_BANDS","ARPU","3"
"1001-5000",3614,6
"1001-5000",3637,8
"1001-5000",3641,14
"1001-5000",3646,6
"1001-5000",3678,4
"1001-5000",3691,2
"1001-5000",3694,8
"1001-5000",3700,8
"1001-5000",3705,4
"1001-5000",3711,4
"1001-5000",3721,6
"1001-5000",3722,2
"1001-5000",3739,8
"1001-5000",3740,12
"1001-5000",3791,2
"1001-5000",3813,4
"1001-5000",3814,8
"1001-5000",3857,6
"1001-5000",3882,4
"1001-5000",3884,12
"1001-5000",3908,14
"1001-5000",3921,4
"1001-5000",3922,10
"1001-5000",3947,10
"1001-5000",3970,14
"1001-5000",3987,4
"1001-5000",4040,12
"1001-5000",4051,2
"1001-5000",4070,2
"1001-5000",4107,2
"1001-5000",4110,12
"1001-5000",4134,4
"1001-5000",4135,6
"1001-5000",4139,6
"1001-5000",4146,8
"1001-5000",4150,6
"1001-5000",4151,6
"1001-5000",4162,14
"1001-5000",4175,2
"1001-5000",4176,4
"1001-5000",3842,6
"1001-5000",3844,6
"1001-5000",3848,6
"1001-5000",3898,10
"1001-5000",3907,8
"1001-5000",3912,6
"1001-5000",3930,10
"1001-5000",3937,8
"1001-5000",3957,2
"1001-5000",3976,2
"1001-5000",3993,2
"1001-5000",4003,12
"1001-5000",4050,14
"1001-5000",4054,4
"1001-5000",4068,4
"1001-5000",4074,4
"1001-5000",4075,2
"1001-5000",4078,4
"1001-5000",4088,4
"1001-5000",4093,2
"1001-5000",4114,2
"1001-5000",4124,4
"1001-5000",4155,6
"1001-5000",4197,8
"1001-5000",4202,2
"1001-5000",4212,12
"1001-5000",4235,4
"1001-5000",4272,2
"1001-5000",4282,4
"1001-5000",4286,4
"1001-5000",4318,2
"1001-5000",4335,2
"1001-5000",4347,8
"1001-5000",4370,6
"1001-5000",4377,2
"1001-5000",4381,6
"1001-5000",4398,2
"1001-5000",4437,2
"1001-5000",4447,6
"1001-5000",4464,2
"1001-5000",4484,4
"1001-5000",4491,2
"1001-5000",4498,2
"1001-5000",4518,2
"1001-5000",4560,6
"1001-5000",4576,4
"1001-5000",4615,4
"1001-5000",4630,2
"1001-5000",4632,2
"1001-5000",4666,2
"1001-5000",4682,2
"1001-5000",4694,2
"1001-5000",4744,4
"1001-5000",4749,2
"1001-5000",4752,2
"1001-5000",4810,2
"1001-5000",4835,6
"1001-5000",4856,4
"1001-5000",4877,2
"1001-5000",4912,2
"1001-5000",4950,2
"1001-5000",4963,4
"101-200",102,26266
"101-200",106,25988
"101-200",123,22292
"101-200",133,21248
"101-200",144,25212
"101-200",148,22172
"101-200",150,39476
"101-200",158,19910
"101-200",183,16866
"101-200",198,19808
"201-500",213,13978
"201-500",224,17666
"201-500",236,12302
"201-500",241,11704
"201-500",250,20828
"201-500",261,10464
"201-500",263,10810
"201-500",264,11400
"201-500",298,9696
"201-500",329,8906
"201-500",330,10858
"201-500",343,7456
"201-500",354,7334
"201-500",356,6618
"201-500",380,9572
"201-500",392,5966
"201-500",396,6034
"201-500",397,5760
"201-500",424,5606
"201-500",427,4998
"201-500",428,5126
"201-500",442,4574
"201-500",444,4990
"201-500",455,5570
"201-500",466,4052
"201-500",468,4370
"201-500",481,3852
"201-500",485,4446
"201-500",486,3786
"201-500",489,4600
"21-50",49,76604
"500-1000",501,4044
"500-1000",520,5284
"500-1000",529,3746
"500-1000",541,3526
"500-1000",579,3392
"500-1000",591,2806
"500-1000",596,2798
"500-1000",621,2416
"500-1000",630,4224
"500-1000",638,2576
"500-1000",672,2174
"500-1000",673,2290
"500-1000",686,2226
"500-1000",690,2712
"500-1000",703,1926
"500-1000",707,1964
"500-1000",715,2252
"500-1000",716,2024
"500-1000",728,1962
"500-1000",745,2248
"500-1000",754,1884
"500-1000",781,1556
"500-1000",786,1578
"500-1000",798,1624
"500-1000",803,1564
"500-1000",814,1740
"0-10",6,53744
"1001-5000",1001,1966
"1001-5000",1016,1006
"1001-5000",1017,1016
"1001-5000",1038,974
"1001-5000",1055,990
"1001-5000",1063,876
"1001-5000",1067,856
"1001-5000",1080,1246
"1001-5000",1101,950
"1001-5000",1140,944
"1001-5000",1148,658
"1001-5000",1153,752
"1001-5000",1157,690
"1001-5000",1170,978
"1001-5000",1193,648
"1001-5000",1210,812
"1001-5000",1211,596
"1001-5000",1212,618
"1001-5000",1221,590
"1001-5000",1231,586
"1001-5000",1293,422
"1001-5000",1298,540
"1001-5000",1300,942
"1001-5000",1306,472
"1001-5000",1316,448
"1001-5000",1332,460
"1001-5000",1342,442
"1001-5000",1349,528
"1001-5000",1350,732
"1001-5000",1363,378
"1001-5000",1364,482
"1001-5000",1374,446
"1001-5000",1384,464
"1001-5000",1393,350
"1001-5000",1403,372
"1001-5000",1420,436
"1001-5000",1427,388
"1001-5000",1440,488
"1001-5000",1444,410
"1001-5000",1462,364
"1001-5000",1470,386
"1001-5000",1479,356
"1001-5000",1481,358
"1001-5000",1508,354
"1001-5000",1511,278
"1001-5000",1514,334
"1001-5000",1515,386
"1001-5000",1516,372
"1001-5000",1541,304
"1001-5000",1544,294
"1001-5000",1554,312
"1001-5000",1593,252
"1001-5000",1606,268
"1001-5000",1609,256
"1001-5000",1620,292
"1001-5000",1624,278
"1001-5000",1637,238
"1001-5000",1640,284
"1001-5000",1657,214
"1001-5000",1690,300
"1001-5000",1691,228
"1001-5000",1698,230
"1001-5000",1700,382
"1001-5000",1715,232
"1001-5000",1724,210
"1001-5000",1732,180
"1001-5000",1745,234
"1001-5000",1767,188
"1001-5000",1797,228
"1001-5000",1800,324
"1001-5000",1805,168
"1001-5000",1810,200
"1001-5000",1812,172
"1001-5000",1853,188
"1001-5000",1865,168
"1001-5000",1866,178
"1001-5000",1870,218
"1001-5000",1875,216
"1001-5000",1877,138
"1001-5000",1886,128
"1001-5000",1893,168
"1001-5000",1904,138
"1001-5000",1928,162
"1001-5000",1939,158
"1001-5000",1952,128
"1001-5000",1955,158
"1001-5000",1982,100
"1001-5000",1988,132
"1001-5000",1993,130
"1001-5000",1994,130
"1001-5000",2000,8836
"1001-5000",2003,300
"1001-5000",2032,136
"1001-5000",2043,136
"1001-5000",2053,140
"1001-5000",2056,102
"1001-5000",2061,160
"1001-5000",2064,134
"1001-5000",2068,136
"1001-5000",2100,456
"1001-5000",2120,166
"1001-5000",2142,104
"1001-5000",2143,120
"1001-5000",2149,152
"1001-5000",2171,96
"1001-5000",2211,106
"1001-5000",2227,76
"1001-5000",2234,98
"1001-5000",2238,70
"1001-5000",2249,120
"1001-5000",2252,92
"1001-5000",2256,78
"1001-5000",2272,68
"1001-5000",2275,82
"1001-5000",2279,86
"1001-5000",2288,84
"1001-5000",2311,90
"1001-5000",2322,94
"1001-5000",2331,76
"1001-5000",2365,82
"1001-5000",2367,54
"1001-5000",2376,58
"1001-5000",2379,76
"1001-5000",2392,74
"1001-5000",2496,66
"1001-5000",2504,58
"1001-5000",2523,44
"1001-5000",2552,48
"1001-5000",2567,46
"1001-5000",2576,54
"1001-5000",2580,48
"1001-5000",2586,32
"1001-5000",2587,42
"1001-5000",2612,48
"1001-5000",2634,46
"1001-5000",2653,48
"1001-5000",2655,38
"1001-5000",2661,30
"1001-5000",2672,32
"1001-5000",2675,42
"1001-5000",2720,42
"1001-5000",2722,42
"1001-5000",2724,40
"1001-5000",2736,44
"1001-5000",2747,32
"1001-5000",2748,34
"1001-5000",2756,32
"1001-5000",2769,46
"1001-5000",2778,38
"1001-5000",2797,54
"1001-5000",2827,26
"1001-5000",2828,30
"1001-5000",2833,32
"1001-5000",2846,34
"1001-5000",2849,36
"1001-5000",2859,28
"1001-5000",2872,18
"1001-5000",2878,44
"1001-5000",2910,38
"1001-5000",2939,24
"1001-5000",2943,22
"1001-5000",2951,10
"1001-5000",2962,28
"1001-5000",2973,14
"1001-5000",2989,36
"1001-5000",2999,52
"1001-5000",3014,24
"1001-5000",3019,30
"1001-5000",3023,36
"1001-5000",3037,20
"1001-5000",3077,18
"1001-5000",3080,38
"1001-5000",3101,30
"1001-5000",3103,10
"1001-5000",3118,18
"1001-5000",3131,20
"1001-5000",3144,30
"1001-5000",3160,22
"1001-5000",3165,30
"1001-5000",3219,6
"1001-5000",3232,14
"1001-5000",3234,18
"1001-5000",3238,8
"1001-5000",3251,18
"1001-5000",3258,10
"1001-5000",3276,26
"1001-5000",3280,18
"1001-5000",3290,20
"1001-5000",3294,10
"1001-5000",3299,22
"1001-5000",3300,28
"1001-5000",3343,24
"1001-5000",3356,12
"1001-5000",3360,4
"1001-5000",3385,8
"1001-5000",3397,18
"1001-5000",3401,10
"1001-5000",3411,8
"1001-5000",3413,12
"1001-5000",3416,14
"1001-5000",3423,12
"1001-5000",3436,6
"1001-5000",3440,10
"1001-5000",3467,14
"1001-5000",3477,10
"1001-5000",3488,20
"1001-5000",3490,6
"1001-5000",3493,12
"1001-5000",3536,10
"1001-5000",3555,10
"1001-5000",3565,4
"1001-5000",3567,6
"1001-5000",3591,12
"1001-5000",3625,8
"1001-5000",3653,14
"1001-5000",3654,8
"1001-5000",3667,8
"1001-5000",3668,4
"1001-5000",3677,2
"1001-5000",3692,6
"1001-5000",3702,4
"1001-5000",3708,6
"1001-5000",3723,8
"1001-5000",3788,6
"1001-5000",3793,6
"1001-5000",3802,4
"1001-5000",3806,2
"1001-5000",3821,10
"1001-5000",3823,2
"1001-5000",3847,12
"1001-5000",3865,8
"1001-5000",3868,10
"1001-5000",3880,10
"1001-5000",3911,10
"1001-5000",3925,4
"1001-5000",3941,6
"1001-5000",3952,4
"1001-5000",4027,4
"1001-5000",4058,2
"1001-5000",4077,4
"1001-5000",4080,6
"1001-5000",4097,2
"1001-5000",4098,6
"1001-5000",4099,18
"1001-5000",4104,2
"1001-5000",4120,4
"1001-5000",4131,8
"1001-5000",4167,2
"1001-5000",4170,4
"1001-5000",4174,8
"1001-5000",1064,900
"1001-5000",1065,1062
"1001-5000",1070,1174
"1001-5000",1091,898
"1001-5000",1113,782
"1001-5000",1126,686
"1001-5000",1127,752
"1001-5000",1143,758
"1001-5000",1156,696
"1001-5000",1169,836
"1001-5000",1175,754
"1001-5000",1182,590
"1001-5000",1183,640
"1001-5000",1190,794
"1001-5000",1204,680
"1001-5000",1208,692
"1001-5000",1219,720
"1001-5000",1230,780
"1001-5000",1236,602
"1001-5000",1269,558
"1001-5000",1281,480
"1001-5000",1292,486
"1001-5000",1318,484
"1001-5000",1322,428
"1001-5000",1325,524
"1001-5000",1331,486
"1001-5000",1340,570
"1001-5000",1370,504
"1001-5000",1378,406
"1001-5000",1397,408
"1001-5000",1411,388
"1001-5000",1428,368
"1001-5000",1451,326
"1001-5000",1452,376
"1001-5000",1455,378
"1001-5000",1474,410
"1001-5000",1480,420
"1001-5000",1495,436
