"ARPU_BANDS","ARPU","3"
"1001-5000",3415,10
"1001-5000",3419,6
"1001-5000",3427,11
"1001-5000",3431,6
"1001-5000",3470,5
"1001-5000",3473,2
"1001-5000",3487,7
"1001-5000",3529,4
"1001-5000",3530,3
"1001-5000",3534,9
"1001-5000",3538,7
"1001-5000",3545,7
"1001-5000",3559,4
"1001-5000",3562,10
"1001-5000",3563,4
"1001-5000",3574,2
"1001-5000",3576,6
"1001-5000",3577,6
"1001-5000",3587,9
"1001-5000",3588,4
"1001-5000",3619,1
"1001-5000",3632,4
"1001-5000",3642,6
"1001-5000",3644,7
"1001-5000",3648,6
"1001-5000",3657,3
"1001-5000",3662,3
"1001-5000",3671,3
"1001-5000",3675,2
"1001-5000",3683,4
"1001-5000",3687,5
"1001-5000",3704,3
"1001-5000",3718,5
"1001-5000",3724,2
"1001-5000",3726,8
"1001-5000",3737,3
"1001-5000",3742,3
"1001-5000",3745,5
"1001-5000",3780,6
"1001-5000",3783,1
"1001-5000",3786,4
"1001-5000",3794,4
"1001-5000",3799,6
"1001-5000",3801,2
"1001-5000",3822,2
"1001-5000",3830,4
"1001-5000",3832,3
"1001-5000",3842,3
"1001-5000",3844,3
"1001-5000",3848,3
"1001-5000",3898,5
"1001-5000",3907,4
"1001-5000",3912,3
"1001-5000",3930,5
"1001-5000",3937,4
"1001-5000",3957,1
"1001-5000",3976,1
"1001-5000",3993,1
"1001-5000",4003,6
"1001-5000",4050,7
"1001-5000",4054,2
"1001-5000",4068,2
"1001-5000",4074,2
"1001-5000",4075,1
"1001-5000",4078,2
"1001-5000",4088,2
"1001-5000",4093,1
"1001-5000",4114,1
"1001-5000",4124,2
"1001-5000",4155,3
"1001-5000",4197,4
"1001-5000",4202,1
"1001-5000",4212,6
"1001-5000",4235,2
"1001-5000",4272,1
"1001-5000",4282,2
"1001-5000",4286,2
"1001-5000",4318,1
"1001-5000",4335,1
"1001-5000",4347,4
"1001-5000",4370,3
"1001-5000",4377,1
"1001-5000",4381,3
"1001-5000",4398,1
"1001-5000",4437,1
"1001-5000",4447,3
"1001-5000",4464,1
"1001-5000",4484,2
"1001-5000",4491,1
"1001-5000",4498,1
"1001-5000",4518,1
"1001-5000",4560,3
"1001-5000",4576,2
"1001-5000",4615,2
"1001-5000",4630,1
"1001-5000",4632,1
"1001-5000",4666,1
"1001-5000",4682,1
"1001-5000",4694,1
"1001-5000",4744,2
"1001-5000",4749,1
"1001-5000",4752,1
"1001-5000",4810,1
"1001-5000",4835,3
"1001-5000",4856,2
"1001-5000",4877,1
"1001-5000",4912,1
"1001-5000",4950,1
"1001-5000",4963,2
"101-200",102,13133
"101-200",106,12992
"101-200",123,11146
"101-200",133,10622
"101-200",144,12606
"101-200",148,11085
"101-200",150,19736
"101-200",158,9955
"101-200",183,8433
"101-200",198,9901
"201-500",213,6988
"201-500",224,8833
"201-500",236,6151
"201-500",241,5850
"201-500",250,10408
"201-500",261,5230
"201-500",263,5405
"201-500",264,5699
"201-500",298,4848
"201-500",329,4452
"201-500",330,5427
"201-500",343,3727
"201-500",354,3667
"201-500",356,3309
"201-500",380,4785
"201-500",392,2983
"201-500",396,3017
"201-500",397,2880
"201-500",424,2803
"201-500",427,2499
"201-500",428,2563
"201-500",442,2287
"201-500",444,2495
"201-500",455,2784
"201-500",466,2026
"201-500",468,2185
"201-500",481,1925
"201-500",485,2221
"201-500",486,1893
"201-500",489,2299
"21-50",49,38298
"500-1000",501,2022
"500-1000",520,2642
"500-1000",529,1873
"500-1000",541,1763
"500-1000",579,1696
"500-1000",591,1402
"500-1000",596,1398
"500-1000",621,1208
"500-1000",630,2112
"500-1000",638,1288
"500-1000",672,1086
"500-1000",673,1144
"500-1000",686,1113
"500-1000",690,1356
"500-1000",703,963
"500-1000",707,982
"500-1000",715,1126
"500-1000",716,1011
"500-1000",728,980
"500-1000",745,1124
"500-1000",754,942
"500-1000",781,777
"500-1000",786,789
"500-1000",798,811
"500-1000",803,782
"500-1000",814,870
"500-1000",819,877
"500-1000",832,674
"500-1000",836,660
"500-1000",840,904
"500-1000",844,797
"500-1000",849,771
"500-1000",861,624
"500-1000",870,758
"500-1000",887,602
"500-1000",895,717
"500-1000",917,541
"500-1000",925,619
"500-1000",930,656
"500-1000",938,578
"500-1000",943,553
"500-1000",947,538
"500-1000",956,512
"500-1000",960,707
"500-1000",964,528
"51-100",52,17492
"51-100",83,14513
"51-100",84,15674
"51-100",98,16315
"51-100",100,32389
GREATER 5000,5034,1
GREATER 5000,5069,1
GREATER 5000,5122,1
GREATER 5000,5123,1
GREATER 5000,5262,1
GREATER 5000,5300,2
GREATER 5000,5315,1
GREATER 5000,5324,1
GREATER 5000,5370,1
GREATER 5000,5391,1
GREATER 5000,5431,1
GREATER 5000,5489,1
GREATER 5000,5534,1
GREATER 5000,5541,2
GREATER 5000,5643,1
GREATER 5000,5661,1
GREATER 5000,5669,1
GREATER 5000,5765,1
GREATER 5000,5908,1
GREATER 5000,5971,1
GREATER 5000,6050,3
GREATER 5000,6099,1
GREATER 5000,6162,1
GREATER 5000,6180,1
GREATER 5000,6240,1
GREATER 5000,6291,1
GREATER 5000,6355,1
GREATER 5000,6360,1
GREATER 5000,6723,1
GREATER 5000,6731,1
GREATER 5000,7044,1
GREATER 5000,7538,1
GREATER 5000,8325,1
GREATER 5000,8369,1
GREATER 5000,8546,1
GREATER 5000,8938,1
GREATER 5000,9083,1
GREATER 5000,9675,1
GREATER 5000,10048,1
GREATER 5000,11283,1
GREATER 5000,15340,1
GREATER 5000,28182,1
GREATER 5000,28246,1
OTHERS,-1878,1
OTHERS,-406,1
OTHERS,-330,1
OTHERS,-207,1
OTHERS,-93,1
OTHERS,-89,2
OTHERS,-68,1
OTHERS,-28,3
"0-10",6,26868
"1001-5000",1001,982
"1001-5000",1016,502
"1001-5000",1017,508
"1001-5000",1038,487
"1001-5000",1055,495
"1001-5000",1063,438
"1001-5000",1067,428
"1001-5000",1080,623
"1001-5000",1101,473
"1001-5000",1140,472
"1001-5000",1148,328
"1001-5000",1153,376
"1001-5000",1157,345
"1001-5000",1170,489
"1001-5000",1193,324
"1001-5000",1210,406
"1001-5000",1211,298
"1001-5000",1212,309
"1001-5000",1221,294
"1001-5000",1231,293
"1001-5000",1293,211
"1001-5000",1298,270
"1001-5000",1300,471
"1001-5000",1306,236
"1001-5000",1316,224
"1001-5000",1332,230
"1001-5000",1342,221
"1001-5000",1349,264
"1001-5000",1350,365
"1001-5000",1363,189
"1001-5000",1364,241
"1001-5000",1374,223
"1001-5000",1384,232
"1001-5000",1393,175
"1001-5000",1403,186
"1001-5000",1420,218
"1001-5000",1427,194
"1001-5000",1440,244
"1001-5000",1444,205
"1001-5000",1462,182
"1001-5000",1470,193
"1001-5000",1479,178
"1001-5000",1481,178
"1001-5000",1508,177
"1001-5000",1511,139
"1001-5000",1514,167
"1001-5000",1515,193
"1001-5000",1516,186
"1001-5000",1541,151
"1001-5000",1544,147
"1001-5000",1554,156
"1001-5000",1593,126
"1001-5000",1606,134
"1001-5000",1609,128
"1001-5000",1620,146
"1001-5000",1624,139
"1001-5000",1637,118
"1001-5000",1640,142
"1001-5000",1657,107
"1001-5000",1690,150
"1001-5000",1691,114
"1001-5000",1698,115
"1001-5000",1700,191
"1001-5000",1715,116
"1001-5000",1724,105
"1001-5000",1732,90
"1001-5000",1745,117
"1001-5000",1767,94
"1001-5000",1797,114
"1001-5000",1800,162
"1001-5000",1805,84
"1001-5000",1810,100
"1001-5000",1812,86
"1001-5000",1853,94
"1001-5000",1865,84
"1001-5000",1866,89
"1001-5000",1870,109
"1001-5000",1875,108
"1001-5000",1877,69
"1001-5000",1886,64
"1001-5000",1893,84
"1001-5000",1904,69
"1001-5000",1928,81
"1001-5000",1939,79
"1001-5000",1952,64
"1001-5000",1955,79
"1001-5000",1982,50
"1001-5000",1988,66
"1001-5000",1993,65
"1001-5000",1994,65
"1001-5000",2000,4408
"1001-5000",2003,150
"1001-5000",2032,68
"1001-5000",2043,68
"1001-5000",2053,70
"1001-5000",2056,51
"1001-5000",2061,80
"1001-5000",2064,67
"1001-5000",2068,68
"1001-5000",2100,227
"1001-5000",2120,83
"1001-5000",2142,52
"1001-5000",2143,59
"1001-5000",2149,76
"1001-5000",2171,48
"1001-5000",2211,53
"1001-5000",2227,38
"1001-5000",2234,49
"1001-5000",2238,35
"1001-5000",2249,60
"1001-5000",2252,46
"1001-5000",2256,39
"1001-5000",2272,34
"1001-5000",2275,41
"1001-5000",2279,43
"1001-5000",2288,42
"1001-5000",2311,45
"1001-5000",2322,47
"1001-5000",2331,38
"1001-5000",2365,41
"1001-5000",2367,27
"1001-5000",2376,29
"1001-5000",2379,38
"1001-5000",2392,37
"1001-5000",2399,60
"1001-5000",2400,73
"1001-5000",2419,42
"1001-5000",2438,29
"1001-5000",2440,35
"1001-5000",2443,31
"1001-5000",2464,33
"1001-5000",2467,21
"1001-5000",2468,45
"1001-5000",2483,34
"1001-5000",2490,31
"1001-5000",2500,139
"1001-5000",2520,24
"1001-5000",2522,25
"1001-5000",2526,27
"1001-5000",2543,20
"1001-5000",2572,16
"1001-5000",2582,25
"1001-5000",2602,26
"1001-5000",2637,23
"1001-5000",2640,23
"1001-5000",2646,25
"1001-5000",2651,26
"1001-5000",2660,29
"1001-5000",2677,15
"1001-5000",2682,19
"1001-5000",2686,17
"1001-5000",2695,20
"1001-5000",2730,19
"1001-5000",2765,12
"1001-5000",2774,10
"1001-5000",2779,14
"1001-5000",2780,24
"1001-5000",2783,13
"1001-5000",2789,8
"1001-5000",2818,12
"1001-5000",2819,14
"1001-5000",2829,16
"1001-5000",2856,9
"1001-5000",2905,8
"1001-5000",2913,15
"1001-5000",2922,6
"1001-5000",2929,14
"1001-5000",2957,11
"1001-5000",2958,12
"1001-5000",2982,6
"1001-5000",2996,7
"1001-5000",3005,12
"1001-5000",3017,12
"1001-5000",3018,9
"1001-5000",3022,11
"1001-5000",3031,5
"1001-5000",3052,12
"1001-5000",3060,18
"1001-5000",3061,13
"1001-5000",3064,15
"1001-5000",3069,16
"1001-5000",3071,12
"1001-5000",3115,12
"1001-5000",3149,14
"1001-5000",3152,11
"1001-5000",3198,17
"1001-5000",3220,12
"1001-5000",3223,15
"1001-5000",3239,4
"1001-5000",3241,9
"1001-5000",3257,5
"1001-5000",3263,5
"1001-5000",3266,7
"1001-5000",3270,5
"1001-5000",3297,10
"1001-5000",3328,1
"1001-5000",3342,8
"1001-5000",3371,7
"1001-5000",3379,4
"1001-5000",3407,5
"1001-5000",3420,8
"1001-5000",3428,7
"1001-5000",3439,3
"1001-5000",3447,9
"1001-5000",3453,2
"1001-5000",3461,5
"1001-5000",3472,3
"1001-5000",3476,2
"1001-5000",3479,6
"1001-5000",3495,8
"1001-5000",3497,5
"1001-5000",3498,4
"1001-5000",3503,4
"1001-5000",3513,5
"1001-5000",3519,4
"1001-5000",3533,5
"1001-5000",3548,7
"1001-5000",3551,2
"1001-5000",3570,6
"1001-5000",3584,7
"1001-5000",3606,6
"1001-5000",3608,5
"1001-5000",3633,4
"1001-5000",3635,2
"1001-5000",3638,4
"1001-5000",3660,6
"1001-5000",3661,5
"1001-5000",3670,6
"1001-5000",3689,2
"1001-5000",3706,3
"1001-5000",3710,2
"1001-5000",3715,3
"1001-5000",3728,3
"1001-5000",3753,5
"1001-5000",3803,2
"1001-5000",3816,3
"1001-5000",3883,4
"1001-5000",3890,2
"1001-5000",3916,1
"1001-5000",3920,3
"1001-5000",3938,1
"1001-5000",3940,1
"1001-5000",3973,5
"1001-5000",3984,4
"1001-5000",3991,4
"1001-5000",4009,5
"1001-5000",4015,2
"1001-5000",4037,3
"1001-5000",4045,6
"1001-5000",4059,3
"1001-5000",4065,2
"1001-5000",4082,1
"1001-5000",4084,3
"1001-5000",4085,2
"1001-5000",4090,1
"1001-5000",4123,1
"1001-5000",4141,3
"1001-5000",4149,2
"1001-5000",4157,3
"1001-5000",4164,2
"1001-5000",4184,2
"1001-5000",4203,5
"1001-5000",4205,2
"1001-5000",4223,1
"1001-5000",4224,2
"1001-5000",4233,1
"1001-5000",4250,4
"1001-5000",4269,1
"1001-5000",4277,3
"1001-5000",4325,2
"1001-5000",4329,1
"1001-5000",4369,2
"1001-5000",4373,1
"1001-5000",4385,1
"1001-5000",4396,4
"1001-5000",4397,3
"1001-5000",4409,4
"1001-5000",4417,2
"1001-5000",4433,1
"1001-5000",4461,4
"1001-5000",4462,1
"1001-5000",4489,1
"1001-5000",4490,1
"1001-5000",4507,1
"1001-5000",4525,1
"1001-5000",4535,1
"1001-5000",4555,2
"1001-5000",4568,3
"1001-5000",4577,2
"1001-5000",4582,1
"1001-5000",4647,2
"1001-5000",4697,1
"1001-5000",4719,3
"1001-5000",4730,2
"1001-5000",4733,1
"1001-5000",4741,2
"1001-5000",4759,1
"1001-5000",4777,1
"1001-5000",4788,1
"1001-5000",4792,1
"1001-5000",4813,1
"1001-5000",4852,2
"1001-5000",4858,2
"1001-5000",4932,1
"1001-5000",4940,1
"101-200",107,15293
"101-200",124,11478
"101-200",134,12885
"101-200",140,19889
"101-200",172,8557
"101-200",186,7895
"101-200",187,8208
"101-200",188,8562
"11-20",14,30085
"11-20",18,64415
"201-500",204,7966
"201-500",208,8174
"201-500",209,9661
"201-500",221,6733
"201-500",242,5943
"201-500",247,5994
"201-500",248,6385
"201-500",253,5779
"201-500",278,5088
"201-500",291,4637
"201-500",308,4650
"201-500",321,3939
"201-500",332,3720
"201-500",333,3837
"201-500",347,3456
"201-500",386,2899
"201-500",389,3412
"201-500",404,3846
"201-500",422,2592
"201-500",437,2363
"201-500",438,2418
"201-500",453,2356
"201-500",461,2143
"201-500",473,2133
"21-50",46,24031
"21-50",50,47693
"500-1000",504,2301
"500-1000",511,1838
"500-1000",521,1803
"500-1000",525,2016
"500-1000",532,1674
"500-1000",547,1661
"500-1000",561,1517
"500-1000",573,1502
"500-1000",599,1742
"500-1000",625,1458
"500-1000",648,1218
"500-1000",652,1165
"500-1000",667,1156
"500-1000",671,1120
"500-1000",674,1530
"500-1000",689,1223
"500-1000",704,1122
"500-1000",712,981
"500-1000",731,926
"500-1000",746,895
"500-1000",757,838
"500-1000",774,901
"500-1000",789,873
"500-1000",804,831
"500-1000",818,764
"500-1000",830,992
"500-1000",833,674
"500-1000",860,948
"500-1000",871,670
"500-1000",886,554
"500-1000",897,612
"500-1000",905,732
"500-1000",920,807
"500-1000",924,610
"500-1000",931,501
"500-1000",942,519
"500-1000",946,541
"500-1000",957,528
"500-1000",961,458
"500-1000",972,472
"500-1000",984,524
"500-1000",999,599
"51-100",81,14091
GREATER 5000,5020,4
GREATER 5000,5026,1
GREATER 5000,5028,1
GREATER 5000,5040,2
GREATER 5000,5043,1
GREATER 5000,5065,1
GREATER 5000,5091,1
GREATER 5000,5092,2
GREATER 5000,5121,2
GREATER 5000,5164,1
GREATER 5000,5165,1
GREATER 5000,5171,1
GREATER 5000,5178,1
GREATER 5000,5197,1
GREATER 5000,5199,1
GREATER 5000,5258,1
GREATER 5000,5268,1
GREATER 5000,5272,1
GREATER 5000,5295,1
GREATER 5000,5368,2
GREATER 5000,5398,1
GREATER 5000,5418,2
GREATER 5000,5452,1
GREATER 5000,5456,1
GREATER 5000,5476,1
GREATER 5000,5502,1
GREATER 5000,5526,1
GREATER 5000,5623,1
GREATER 5000,5658,1
GREATER 5000,5740,1
GREATER 5000,5813,1
GREATER 5000,5840,1
GREATER 5000,5894,1
GREATER 5000,5913,1
GREATER 5000,6015,1
GREATER 5000,6161,2
GREATER 5000,6212,1
GREATER 5000,6225,1
GREATER 5000,6262,1
GREATER 5000,6429,1
GREATER 5000,6470,1
GREATER 5000,6471,1
GREATER 5000,6515,1
GREATER 5000,6628,1
GREATER 5000,6800,1
GREATER 5000,6978,1
GREATER 5000,7250,1
GREATER 5000,7305,1
GREATER 5000,7500,1
GREATER 5000,7550,1
GREATER 5000,8000,5
GREATER 5000,8053,1
GREATER 5000,8354,1
GREATER 5000,8439,1
GREATER 5000,8635,1
GREATER 5000,9000,1
GREATER 5000,9621,1
GREATER 5000,10002,1
GREATER 5000,10303,1
GREATER 5000,12111,1
GREATER 5000,12330,1
GREATER 5000,14521,1
GREATER 5000,65945,1
OTHERS,-4557,1
OTHERS,-1363,1
OTHERS,-495,1
OTHERS,-162,1
OTHERS,-122,1
OTHERS,-79,1
OTHERS,-63,2
OTHERS,-44,5
OTHERS,-30,10
OTHERS,-25,6
OTHERS,-21,4
OTHERS,-15,6
"0-10",5,34072
"0-10",7,28036
"0-10",8,65020
"1001-5000",1018,561
"1001-5000",1031,452
"1001-5000",1054,509
"1001-5000",1072,418
"1001-5000",1085,499
"1001-5000",1089,528
"1001-5000",1093,418
"1001-5000",1095,514
"1001-5000",1096,431
"1001-5000",1097,426
"1001-5000",1098,438
"1001-5000",1107,394
"1001-5000",1109,482
"1001-5000",1128,394
"1001-5000",1137,368
"1001-5000",1181,320
"1001-5000",1186,296
"1001-5000",1206,271
"1001-5000",1207,287
"1001-5000",1214,344
"1001-5000",1233,306
"1001-5000",1258,262
"1001-5000",1263,290
"1001-5000",1264,317
"1001-5000",1286,237
"1001-5000",1290,319
"1001-5000",1291,259
"1001-5000",1309,304
"1001-5000",1373,221
"1001-5000",1376,207
"1001-5000",1396,247
"1001-5000",1404,202
"1001-5000",1408,194
"1001-5000",1409,226
"1001-5000",1410,239
"1001-5000",1426,166
"1001-5000",1453,189
"1001-5000",1487,165
"1001-5000",1523,150
"1001-5000",1542,178
"1001-5000",1555,151
"1001-5000",1569,158
"1001-5000",1575,141
"1001-5000",1579,163
"1001-5000",1583,130
"1001-5000",1595,164
"1001-5000",1599,194
"1001-5000",1612,114
"1001-5000",1613,112
"1001-5000",1618,124
"1001-5000",1629,128
"1001-5000",1652,98
"1001-5000",1664,127
"1001-5000",1669,113
"1001-5000",1685,118
"1001-5000",1693,124
"1001-5000",1703,112
"1001-5000",1705,133
"1001-5000",1708,103
"1001-5000",1709,114
"1001-5000",1710,114
"1001-5000",1723,89
"1001-5000",1729,111
"1001-5000",1734,110
"1001-5000",1768,99
"1001-5000",1806,92
"1001-5000",1809,113
"1001-5000",1813,86
"1001-5000",1815,121
"1001-5000",1829,103
"1001-5000",1869,84
"1001-5000",1910,73
"1001-5000",1920,90
"1001-5000",1941,72
"1001-5000",1948,66
"1001-5000",1949,88
"1001-5000",1965,79
"1001-5000",1978,51
"1001-5000",2005,144
"1001-5000",2013,86
"1001-5000",2018,100
"1001-5000",2054,70
"1001-5000",2062,64
"1001-5000",2065,60
"1001-5000",2067,64
"1001-5000",2071,59
"1001-5000",2081,60
"1001-5000",2087,69
"1001-5000",2124,55
"1001-5000",2125,65
"1001-5000",2141,56
"1001-5000",2153,47
"1001-5000",2181,58
"1001-5000",2197,33
"1001-5000",2203,45
"1001-5000",2219,60
"1001-5000",2241,52
"1001-5000",2246,43
"1001-5000",2261,49
"1001-5000",2315,57
"1001-5000",2321,48
"1001-5000",2334,40
"1001-5000",2337,35
"1001-5000",2347,24
"1001-5000",2372,23
"1001-5000",2380,34
"1001-5000",2386,39
"1001-5000",2397,37
"1001-5000",2409,34
"1001-5000",2414,33
"1001-5000",2420,42
"1001-5000",2433,35
"1001-5000",2437,26
"1001-5000",2450,33
"1001-5000",2471,25
"1001-5000",2511,36
"1001-5000",2530,37
"1001-5000",2536,23
"1001-5000",2537,19
"1001-5000",2561,28
"1001-5000",2573,24
"1001-5000",2608,19
"1001-5000",2615,36
"1001-5000",2627,30
"1001-5000",2647,21
"1001-5000",2652,16
"1001-5000",2657,14
"1001-5000",2662,16
"1001-5000",2663,26
"1001-5000",2674,17
"1001-5000",2696,18
"1001-5000",2700,43
"1001-5000",2702,15
"1001-5000",2703,19
"1001-5000",2705,18
"1001-5000",2711,20
"1001-5000",2725,23
"1001-5000",2749,23
"1001-5000",2762,15
"1001-5000",2795,12
"1001-5000",2801,12
"1001-5000",2805,13
"1001-5000",2812,20
"1001-5000",2814,14
"1001-5000",2815,13
"1001-5000",2840,18
"1001-5000",2854,14
"1001-5000",2858,18
"1001-5000",2863,18
"1001-5000",2865,7
"1001-5000",2867,7
"1001-5000",2870,12
"1001-5000",2893,17
"1001-5000",2902,13
"1001-5000",2927,9
"1001-5000",2936,15
"1001-5000",2938,12
"1001-5000",2941,12
"1001-5000",2967,13
"1001-5000",2986,17
"1001-5000",3010,20
"1001-5000",3036,9
"1001-5000",3039,14
"1001-5000",3062,4
"1001-5000",3066,6
"1001-5000",3073,9
"1001-5000",3074,6
"1001-5000",3085,13
"1001-5000",3113,12
"1001-5000",3120,14
"1001-5000",3139,10
"1001-5000",3150,9
"1001-5000",3163,9
"1001-5000",3169,12
"1001-5000",3171,9
"1001-5000",3175,8
"1001-5000",3178,5
"1001-5000",3185,5
"1001-5000",3192,8
"1001-5000",3222,10
"1001-5000",3225,8
"1001-5000",3237,5
"1001-5000",3261,5
"1001-5000",3274,9
"1001-5000",3286,4
"1001-5000",3287,8
"1001-5000",3316,9
"1001-5000",3317,7
"1001-5000",3319,9
"1001-5000",3321,11
"1001-5000",3329,8
"1001-5000",3331,2
"1001-5000",3332,4
"1001-5000",3341,10
"1001-5000",3363,4
"1001-5000",3388,4
"1001-5000",3402,4
"1001-5000",3425,3
"1001-5000",3441,5
"1001-5000",3464,5
"1001-5000",3469,1
"1001-5000",3471,6
"1001-5000",3480,7
"1001-5000",3486,2
"1001-5000",3489,6
"1001-5000",3505,7
"1001-5000",3508,6
"1001-5000",3517,4
"1001-5000",3540,4
"1001-5000",3542,7
"1001-5000",3543,6
"1001-5000",3566,4
"1001-5000",3569,2
"1001-5000",3575,3
"1001-5000",3580,3
"1001-5000",3583,5
"1001-5000",3586,5
"1001-5000",3597,7
"1001-5000",3639,3
"1001-5000",3651,5
"1001-5000",3658,7
"1001-5000",3674,4
"1001-5000",3681,5
"1001-5000",3697,2
"1001-5000",3698,4
"1001-5000",3720,5
"1001-5000",3727,2
"1001-5000",3732,5
"1001-5000",3790,5
"1001-5000",3836,3
"1001-5000",3838,3
"1001-5000",3839,4
"1001-5000",3841,1
"1001-5000",3843,2
"1001-5000",3853,4
"1001-5000",3864,6
"1001-5000",3874,1
"1001-5000",3875,7
"1001-5000",3888,5
"1001-5000",3900,4
"1001-5000",3915,2
"1001-5000",3918,4
"1001-5000",3931,4
"1001-5000",3942,3
"1001-5000",3944,3
"1001-5000",3981,2
"1001-5000",3982,1
"1001-5000",3985,5
"1001-5000",4001,9
"1001-5000",4004,6
"1001-5000",4017,1
"1001-5000",4029,5
"1001-5000",4041,2
"1001-5000",4042,1
"1001-5000",4046,4
"1001-5000",4057,2
"1001-5000",4076,3
"1001-5000",4086,5
"1001-5000",4089,4
"1001-5000",4092,1
"1001-5000",4095,2
"1001-5000",4101,5
"1001-5000",4112,1
"1001-5000",4121,1
