id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
40	Biotechnology and Food Security in the 21st Century	<table><tr><td>Journal:</td><td>JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS</td></tr><tr><td>ISSN:</td><td>0022-3239</td></tr><tr></tr></table>	0.8539	-0.8917	3	15	38	201	0.688
41	Are We Closer to International Consensus on the Term ‘Food Literacy’? A Systematic Scoping Review of Its Use in the Academic Literature (1998–2019)	<table><tr><td>Journal:</td><td>JOURNAL OF BANKING & FINANCE</td></tr><tr><td>ISSN:</td><td>0378-4266</td></tr><tr></tr></table>	-0.7998	0.177	5	51	169	191	0.753
42	"Current state and prospects of biotechnology in Central and Eastern European countries. Part II: new and preaccession EU countries(CRO, RO, B&H, SRB)"	<table><tr><td>Journal:</td><td>JOURNAL OF ACCOUNTING & ECONOMICS</td></tr><tr><td>ISSN:</td><td>0165-4101</td></tr><tr></tr></table>	-1.0108	0.8871	5	31	204	187	3.034
43	No country for new seeds: food and environmental security implications of Mexico’s intended ban on GM crops	<table><tr><td>Journal:</td><td>INFORMATION & MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0378-7206</td></tr><tr></tr></table>	0.9786	0.016	4	46	152	185	1.631
44	Biotechnology as the engine for the Knowledge-Based Bio-Economy	<table><tr><td>Journal:</td><td>MATHEMATICAL PROGRAMMING</td></tr><tr><td>ISSN:</td><td>0025-5610</td></tr><tr></tr></table>	0.8394	-0.9005	3	13	38	184	1.475
45	Trends in Food Preferences and Sustainable Behavior during the COVID-19 Lockdown: Evidence from Spanish Consumers	<table><tr><td>Journal:</td><td>JOURNAL OF MARKETING RESEARCH</td></tr><tr><td>ISSN:</td><td>0022-2437</td></tr><tr></tr></table>	0.4575	-0.1015	4	60	206	184	1.739
46	The Impact of COVID-19 on Canada’s Food Literacy: Results of a Cross-National Survey	<table><tr><td>Journal:</td><td>APPLIED ECONOMICS</td></tr><tr><td>ISSN:</td><td>0003-6846</td></tr><tr></tr></table>	-0.5255	-0.2765	1	48	92	182	0.473
47	"Carbon, food and fuel security – will biotechnology solve this irreconcilable trinity?"	<table><tr><td>Journal:</td><td>REVIEW OF FINANCIAL STUDIES</td></tr><tr><td>ISSN:</td><td>0893-9454</td></tr><tr></tr></table>	-0.8064	0.0527	5	47	168	181	2.16
48	The development of biotechnology education in China*	<table><tr><td>Journal:</td><td>OPERATIONS RESEARCH</td></tr><tr><td>ISSN:</td><td>0030-364X</td></tr><tr></tr></table>	0.7045	-0.6779	3	36	90	180	1.467
49	"Food Security, Institutional Framework and Technology: Examining the Nexus in Nigeria Using ARDL Approach"	<table><tr><td>Journal:</td><td>ECONOMICS LETTERS</td></tr><tr><td>ISSN:</td><td>0165-1765</td></tr><tr></tr></table>	-0.5817	-0.2521	1	59	121	179	0.302
50	Food Access and Nutritional Status of Rural Adolescents in India: Pune Maternal Nutrition Study	<table><tr><td>Journal:</td><td>JOURNAL OF ORGANIZATIONAL BEHAVIOR</td></tr><tr><td>ISSN:</td><td>0894-3796</td></tr><tr></tr></table>	0.7596	0.6404	2	45	125	179	1.981
51	Biotechnology and the bioeconomy—Towards inclusive and sustainable industrial development	<table><tr><td>Journal:</td><td>GAMES AND ECONOMIC BEHAVIOR</td></tr><tr><td>ISSN:</td><td>0899-8256</td></tr><tr></tr></table>	-0.363	-0.3119	1	37	82	171	1.468
52	Mapping the production-consumption gap of an urban food system: an empirical case study of food security and resilience	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS ETHICS</td></tr><tr><td>ISSN:</td><td>0167-4544</td></tr><tr></tr></table>	0.3219	0.5156	2	53	130	170	0.538
53	Biotechnology in the Netherlands: controversy or consensus?	<table><tr><td>Journal:</td><td>TECHNOVATION</td></tr><tr><td>ISSN:</td><td>0166-4972</td></tr><tr></tr></table>	0.6111	0.2465	2	46	125	169	1.004
54	What Do We Know About Chain Actors’ Evaluation of New Food Technologies? A Systematic Review of Consumer and Farmer Studies	<table><tr><td>Journal:</td><td>JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0095-0696</td></tr><tr></tr></table>	-0.3239	-0.279	1	45	108	168	1.438
55	Removing politics from innovations that improve food security	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS</td></tr><tr><td>ISSN:</td><td>0021-9398</td></tr><tr></tr></table>	-0.6996	0.3525	5	58	189	165	1.133
56	Crop Biotechnology and Product Stewardship	<table><tr><td>Journal:</td><td>RELIABILITY ENGINEERING & SYSTEM SAFETY</td></tr><tr><td>ISSN:</td><td>0951-8320</td></tr><tr></tr></table>	1.0553	-0.6565	3	17	40	164	1.004
57	Toward a sustainable metric and indicators for the goal of sustainability in agricultural and food production	<table><tr><td>Journal:</td><td>JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY</td></tr><tr><td>ISSN:</td><td>0160-5682</td></tr><tr></tr></table>	0.6929	-0.5899	3	26	81	161	0.784
58	Continents divided	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC LITERATURE</td></tr><tr><td>ISSN:</td><td>0022-0515</td></tr><tr></tr></table>	-0.6492	-0.1777	1	48	140	158	3.973
59	Including Public Perspectives in Industrial Biotechnology and the Biobased Economy	<table><tr><td>Journal:</td><td>AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0002-9092</td></tr><tr></tr></table>	-0.3149	-0.3471	1	35	78	153	1.034
60	Plant Biotechnology Can Enhance Food Security and Nutrition in the Developing World Part 1	<table><tr><td>Journal:</td><td>JOURNAL OF MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0149-2063</td></tr><tr></tr></table>	0.591	0.634	2	62	197	153	2
61	Australian Consumers’ Preferences for Food Attributes: A Latent Profile Analysis	<table><tr><td>Journal:</td><td>JOURNAL OF INTERNATIONAL BUSINESS STUDIES</td></tr><tr><td>ISSN:</td><td>0047-2506</td></tr><tr></tr></table>	0.7511	0.4621	2	53	220	151	2.283
62	Innovation and the regulation of products of agricultural biotechnology in the United States of America	<table><tr><td>Journal:</td><td>ACCOUNTING REVIEW</td></tr><tr><td>ISSN:</td><td>0001-4826</td></tr><tr></tr></table>	-0.8844	0.9268	5	34	182	150	1.733
63	"Opportunities, challenges and trade-offs with decreasing avoidable food waste in the UK"	<table><tr><td>Journal:</td><td>TRANSPORTATION RESEARCH PART B-METHODOLOGICAL</td></tr><tr><td>ISSN:</td><td>0191-2615</td></tr><tr></tr></table>	0.3469	-0.5659	3	18	38	148	1.948
64	The phosphorus mass balance: identifying ‘hotspots’ in the food system as a roadmap to phosphorus security	<table><tr><td>Journal:</td><td>JOURNAL OF GLOBAL OPTIMIZATION</td></tr><tr><td>ISSN:</td><td>0925-5001</td></tr><tr></tr></table>	0.9431	-0.9532	3	9	43	148	0.813
65	"Perceived Risk of Genetically Modified Foods Among Residents in Xi’an, China: A Structural Equation Modeling Approach"	<table><tr><td>Journal:</td><td>REVIEW OF ACCOUNTING STUDIES</td></tr><tr><td>ISSN:</td><td>1380-6653</td></tr><tr></tr></table>	-1.102	0.9831	5	14	73	146	2.176
66	Bioeconomy for Sustainable Development	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC THEORY</td></tr><tr><td>ISSN:</td><td>0022-0531</td></tr><tr></tr></table>	-0.4591	-0.4143	1	37	103	142	1.353
67	Seasonal Nutritional Food Security to Indian Women through Community-level Implementation of Domestic Solar Conduction Dryer	<table><tr><td>Journal:</td><td>JOURNAL OF POLICY ANALYSIS AND MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0276-8739</td></tr><tr></tr></table>	-0.4878	-0.1771	1	19	37	139	1.8
68	Perceptions of Genetically Engineered Technology in Developed Areas	<table><tr><td>Journal:</td><td>ACADEMY OF MANAGEMENT LEARNING & EDUCATION</td></tr><tr><td>ISSN:</td><td>1537-260X</td></tr><tr></tr></table>	0.487	0.6629	2	44	156	135	2.796
69	Agricultural Science and Food Policy for Consumers and Workers: Recipes for Public Health Successes or Disasters?	<table><tr><td>Journal:</td><td>ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES</td></tr><tr><td>ISSN:</td><td>0749-5978</td></tr><tr></tr></table>	0.5274	0.2864	4	43	115	134	1.847
70	The Integration and Harmonisation of Secular and Islamic Ethical Principles in Formulating Acceptable Ethical Guidelines for Modern Biotechnology in Malaysia	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION</td></tr><tr><td>ISSN:</td><td>0167-2681</td></tr><tr></tr></table>	-0.3557	-0.0907	1	49	87	133	0.772
71	Forty Years of Food Safety Risk Assessment: A History and Analysis	<table><tr><td>Journal:</td><td>OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE</td></tr><tr><td>ISSN:</td><td>0305-0483</td></tr><tr></tr></table>	1.1011	-0.4247	3	37	124	131	1.327
72	"Food insecurity, hunger and malnutrition: necessary policy and technology changes"	<table><tr><td>Journal:</td><td>TOURISM MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0261-5177</td></tr><tr></tr></table>	0.1377	-0.0833	4	20	27	131	0.89
73	"Gendered contexts: Masculinity, knowledge, and attitudes toward biotechnology"	<table><tr><td>Journal:</td><td>RAND JOURNAL OF ECONOMICS</td></tr><tr><td>ISSN:</td><td>0741-6261</td></tr><tr></tr></table>	-0.3283	-0.0957	1	44	90	130	1.44
74	"Prevalence and correlates of household food insecurity in Delhi and Chennai, India"	<table><tr><td>Journal:</td><td>ENVIRONMENTAL & RESOURCE ECONOMICS</td></tr><tr><td>ISSN:</td><td>0924-6460</td></tr><tr></tr></table>	-0.3456	-0.3512	1	39	99	129	1.237
75	Food Waste: A Promising Source of Sustainable Biohydrogen Fuel	<table><tr><td>Journal:</td><td>ECONOMIC THEORY</td></tr><tr><td>ISSN:</td><td>0938-2259</td></tr><tr></tr></table>	-0.3811	-0.4236	1	28	34	127	0.602
76	Educational awareness of biotechnology issues among undergraduate students at the united arab emirates university	<table><tr><td>Journal:</td><td>OPERATIONS RESEARCH LETTERS</td></tr><tr><td>ISSN:</td><td>0167-6377</td></tr><tr></tr></table>	0.9789	-0.88	3	15	57	124	0.517
77	Entrepreneurship and entrepreneurial opportunities in the food value chain	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS VENTURING</td></tr><tr><td>ISSN:</td><td>0883-9026</td></tr><tr></tr></table>	0.4024	0.4908	2	50	203	124	1.875
78	Food insecurity prevalence among college students at the University of Hawai’i at Mānoa	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF FORECASTING</td></tr><tr><td>ISSN:</td><td>0169-2070</td></tr><tr></tr></table>	-0.4054	-0.2848	1	41	72	123	1.409
79	Preface to the special issue bioeconomy	<table><tr><td>Journal:</td><td>JOURNAL OF APPLIED ECONOMETRICS</td></tr><tr><td>ISSN:</td><td>0883-7252</td></tr><tr></tr></table>	-0.9453	-0.3982	1	33	92	123	1.094
80	Europe’s Farm to Fork Strategy and Its Commitment to Biotechnology and Organic Farming: Conflicting or Complementary Goals?	<table><tr><td>Journal:</td><td>JOURNAL OF MONEY CREDIT AND BANKING</td></tr><tr><td>ISSN:</td><td>0022-2879</td></tr><tr></tr></table>	-0.8084	-0.1058	1	58	162	122	0.947
81	Expert opinions on the regulation of plant genome editing	<table><tr><td>Journal:</td><td>ANNALS OF OPERATIONS RESEARCH</td></tr><tr><td>ISSN:</td><td>0254-5330</td></tr><tr></tr></table>	0.8098	-0.8076	3	31	62	122	0.544
82	Challenges and prospects of food science and technology education: Nepal's perspective	<table><tr><td>Journal:</td><td>ENTREPRENEURSHIP THEORY AND PRACTICE</td></tr><tr><td>ISSN:</td><td>1042-2587</td></tr><tr></tr></table>	0.5874	0.5719	2	46	163	119	1.805
83	EU Failing FAO Challenge to Improve Global Food Security	<table><tr><td>Journal:</td><td>IIE TRANSACTIONS</td></tr><tr><td>ISSN:</td><td>0740-817X</td></tr><tr></tr></table>	0.994	-0.6064	3	36	103	119	0.797
84	The science of food security	<table><tr><td>Journal:</td><td>JOURNAL OF DEVELOPMENT ECONOMICS</td></tr><tr><td>ISSN:</td><td>0304-3878</td></tr><tr></tr></table>	-0.7227	-0.1695	1	44	93	118	0.912
85	Using scenario analyses to address the future of food	<table><tr><td>Journal:</td><td>JOURNAL OF URBAN ECONOMICS</td></tr><tr><td>ISSN:</td><td>0094-1190</td></tr><tr></tr></table>	-0.3849	-0.2908	1	33	67	117	0.942
86	Worlds Apart? The Reception of Genetically Modified Foods in Europe and the U.S.	<table><tr><td>Journal:</td><td>JOURNAL OF MANAGEMENT INFORMATION SYSTEMS</td></tr><tr><td>ISSN:</td><td>0742-1222</td></tr><tr></tr></table>	1.1893	0.0293	4	29	144	117	1.867
87	Policy Considerations Regarding Genome Editing	<table><tr><td>Journal:</td><td>JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION</td></tr><tr><td>ISSN:</td><td>1542-4766</td></tr><tr></tr></table>	-0.8436	-0.2126	1	48	127	117	0.871
88	Options for a rational dialogue on the acceptance of biotechnology	<table><tr><td>Journal:</td><td>ENERGY ECONOMICS</td></tr><tr><td>ISSN:</td><td>0140-9883</td></tr><tr></tr></table>	-0.5221	-0.2784	1	30	54	115	1.557
89	Case studies on the use of biotechnologies and on biosafety provisions in four African countries	<table><tr><td>Journal:</td><td>JOURNAL OF HUMAN RESOURCES</td></tr><tr><td>ISSN:</td><td>0022-166X</td></tr><tr></tr></table>	-0.6352	-0.1823	1	33	75	112	1.162
90	A Review of Indigenous Food Crops in Africa and the Implications for more Sustainable and Healthy Food Systems	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC DYNAMICS & CONTROL</td></tr><tr><td>ISSN:</td><td>0165-1889</td></tr><tr></tr></table>	-0.6038	-0.4565	1	36	81	111	0.703
91	The biotechnology and bioeconomy landscape in Malaysia	<table><tr><td>Journal:</td><td>ADMINISTRATIVE SCIENCE QUARTERLY</td></tr><tr><td>ISSN:</td><td>0001-8392</td></tr><tr></tr></table>	0.6999	0.7521	2	45	154	111	2.912
92	Mycoprotein: environmental impact and health aspects	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC GEOGRAPHY</td></tr><tr><td>ISSN:</td><td>1468-2702</td></tr><tr></tr></table>	-0.3129	-0.026	1	34	58	106	2.679
93	"Trends in packaging material for food products: historical background, current scenario, and future prospects"	<table><tr><td>Journal:</td><td>ECONOMETRIC THEORY</td></tr><tr><td>ISSN:</td><td>0266-4666</td></tr><tr></tr></table>	-0.6307	-0.2906	1	16	50	106	0.748
94	The future of plant biotechnology in a globalized and environmentally endangered world	<table><tr><td>Journal:</td><td>LEADERSHIP QUARTERLY</td></tr><tr><td>ISSN:</td><td>1048-9843</td></tr><tr></tr></table>	0.7693	0.6248	2	31	81	104	1.763
95	Food Innovation Adoption and Organic Food Consumerism—A Cross National Study between Malaysia and Hungary	<table><tr><td>Journal:</td><td>INDUSTRIAL MARKETING MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0019-8501</td></tr><tr></tr></table>	0.8871	0.1654	4	47	127	103	0.911
96	Genetically Modified Foods at the Intersection of the Regulatory Landscape and Constitutional Jurisprudence	<table><tr><td>Journal:</td><td>HUMAN RELATIONS</td></tr><tr><td>ISSN:</td><td>0018-7267</td></tr><tr></tr></table>	0.7144	0.8408	2	28	81	103	1.103
97	Application of Modern Biotechnology to Food and Agriculture: Food Systems Perspective	<table><tr><td>Journal:</td><td>JOURNAL OF OPERATIONS MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0272-6963</td></tr><tr></tr></table>	1.0438	-0.1905	3	43	141	102	1.851
98	"Assessment of food safety knowledge, attitudes and practices of fish farmers and restaurants food handlers in Bangladesh"	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0958-5192</td></tr><tr></tr></table>	0.6519	0.5006	2	38	79	101	0.546
99	Should we still worry about the safety of GMO foods? Why and why not? A review	<table><tr><td>Journal:</td><td>ORGANIZATION</td></tr><tr><td>ISSN:</td><td>1350-5084</td></tr><tr></tr></table>	0.5943	0.8102	2	25	65	100	1.169
100	GM trust shaped by trust determinants with the impact of risk/benefit framework: the contingent role of food technology neophobia	<table><tr><td>Journal:</td><td>JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS</td></tr><tr><td>ISSN:</td><td>0022-1090</td></tr><tr></tr></table>	-0.5718	0.4633	5	38	123	98	1.342
101	The Potato of the Future: Opportunities and Challenges in Sustainable Agri-food Systems	<table><tr><td>Journal:</td><td>PSYCHOLOGY & MARKETING</td></tr><tr><td>ISSN:</td><td>0742-6046</td></tr><tr></tr></table>	0.4949	0.0444	4	29	64	97	0.919
102	An Overview of the Applications of Nanomaterials and Nanodevices in the Food Industry	<table><tr><td>Journal:</td><td>JOURNAL OF INTERNATIONAL MONEY AND FINANCE</td></tr><tr><td>ISSN:</td><td>0261-5606</td></tr><tr></tr></table>	-0.9437	-0.2358	1	36	85	97	0.709
103	Establishing a theoretical foundation for measuring global health security: a scoping review	<table><tr><td>Journal:</td><td>TRANSPORTATION SCIENCE</td></tr><tr><td>ISSN:</td><td>0041-1655</td></tr><tr></tr></table>	0.7422	-0.7432	3	20	61	96	1.427
